,wordcount
ginati,1
girl's,1
gives,4
giving,1
gi…,1
global,1
go,1
"goa?""",1
goal,1
god,1
going,1
goli,1
gone,3
good,8
gorgeous,1
goswami..No,2
goswami.…,1
got,4
gova,1
government,2
govrment,1
govt,11
govt.,2
gps,1
graf,2
great,6
great..,1
greatest,1
greats..,1
grief,1
growth,41
guy,1
guys,3
guzarish,1
gya,1
gye,3
h,18
"h,",1
h.,1
h.#ac#car#and,1
h..,1
h......RSS,1
haal,1
haar,9
had,2
hah..please,1
hahahha,1
hai,67
hai!!,1
"hai,",5
hai.,10
hai..,2
hai...,2
hai.....!!hamare,1
hai......,1
hai...Aisa,1
hai...hum,1
hai...kya,1
hai..shandar,1
hai.Bro,1
hai?,1
haii...,1
hain,3
hain...,1
hai…,2
halala,1
half,1
hamara,1
hamare,1
hamari,1
hamdard,1
hame,1
hangama,1
happened,2
happy,1
har,2
haram,1
hard,1
harkate,1
has,9
have,18
have…,1
hay,2
he,16
he.soft,1
headache,1
headquarters.,2
heard,1
heart,1
"heart....thanks,god",1
hehe............,1
hei...,1
hello,1
